Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %,index
06.04.2023,117.45,118.10,115.85,116.45,306816,0.86,1
05.04.2023,117.90,118.20,115.75,116.35,548946,1.33,2
04.04.2023,121.45,121.45,117.90,118.45,538364,2.53,3
03.04.2023,121.95,123.10,120.25,120.65,437583,1.08,4
31.03.2023,124.00,124.55,121.40,122.25,615602,1.43,5
30.03.2023,119.00,123.65,118.80,123.25,794909,-3.45,6
29.03.2023,117.90,118.65,115.90,118.50,567347,-0.51,7
28.03.2023,117.30,118.55,116.50,117.00,554846,0.26,8
27.03.2023,116.75,116.80,113.50,116.45,374687,0.26,9
24.03.2023,117.70,118.00,113.50,114.95,419452,2.39,10
23.03.2023,118.00,119.55,114.50,117.40,455218,0.51,11
22.03.2023,118.95,119.55,117.40,118.65,399873,0.25,12
21.03.2023,118.00,122.50,117.25,118.90,770778,-0.76,13
20.03.2023,113.80,117.80,112.20,117.35,677300,-3.03,14
17.03.2023,116.80,120.25,113.70,114.40,1620825,2.1,15
16.03.2023,114.50,116.00,110.30,114.90,1074204,-0.35,16
15.03.2023,120.50,120.50,113.30,113.30,992386,6.35,17
14.03.2023,118.50,121.65,118.25,120.50,576088,-1.66,18
13.03.2023,122.50,122.90,115.20,119.55,1221263,2.47,19
10.03.2023,119.90,121.60,118.20,121.45,789683,-1.28,20
09.03.2023,125.50,127.00,121.80,121.90,824151,2.95,21
08.03.2023,125.80,126.65,123.60,126.00,1230866,-0.16,22
07.03.2023,129.95,130.00,125.40,125.85,997726,3.26,23
06.03.2023,132.00,132.50,128.05,130.00,621796,1.54,24
03.03.2023,129.20,130.90,128.70,130.90,1134827,-1.3,25
02.03.2023,131.00,131.00,126.75,128.05,902505,2.3,26
01.03.2023,129.60,134.70,129.50,132.20,1118534,-1.97,27
28.02.2023,125.80,128.00,124.25,127.40,727762,-1.26,28
27.02.2023,123.55,127.30,122.80,125.80,361886,-1.79,29
24.02.2023,127.85,127.85,123.65,124.00,739845,3.1,30
23.02.2023,128.50,130.75,128.00,128.35,516812,0.12,31
22.02.2023,134.40,134.40,127.20,128.00,569832,5.0,32
21.02.2023,137.00,137.00,133.40,135.60,304789,1.03,33
20.02.2023,134.10,138.15,134.10,136.70,322028,-1.9,34
17.02.2023,133.50,134.85,131.80,133.40,391189,0.07,35
16.02.2023,134.00,135.35,132.15,134.00,289000,0.0,36
15.02.2023,132.00,133.70,130.60,132.60,275027,-0.45,37
14.02.2023,133.40,134.95,132.00,133.75,350088,-0.26,38
13.02.2023,134.85,135.10,131.00,133.15,403478,1.28,39
10.02.2023,138.15,138.15,132.80,133.65,714488,3.37,40
09.02.2023,140.05,141.00,138.15,138.75,409128,0.94,41
08.02.2023,140.40,141.45,137.95,137.95,392533,1.78,42
07.02.2023,136.00,138.75,134.70,138.35,607895,-1.7,43
06.02.2023,136.00,137.00,133.80,134.90,616779,0.82,44
03.02.2023,140.00,140.00,135.20,137.75,892407,1.63,45
02.02.2023,140.05,144.90,138.20,141.45,1074310,-0.99,46
01.02.2023,141.00,142.10,138.25,138.85,556160,1.55,47
31.01.2023,142.50,143.00,139.15,140.65,1056115,1.32,48
30.01.2023,145.80,145.80,142.65,143.70,571111,1.46,49
27.01.2023,149.70,150.25,146.20,146.20,405137,2.39,50
