Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %
03.04.2023,41.90,42.26,41.22,41.26,200123,1.55
31.03.2023,42.36,42.36,41.32,41.50,477317,2.07
30.03.2023,41.30,42.44,41.30,41.86,628787,-1.34
29.03.2023,42.16,42.20,41.20,41.68,576150,1.15
28.03.2023,41.10,42.22,40.76,41.24,712671,-0.34
27.03.2023,42.30,42.30,41.20,41.30,206839,2.42
24.03.2023,41.50,42.00,40.84,41.34,533365,0.39
23.03.2023,41.90,42.10,41.18,41.80,441848,0.24
22.03.2023,41.46,41.64,41.04,41.40,267011,0.14
21.03.2023,40.22,41.50,40.22,41.00,318848,-1.9
20.03.2023,39.40,40.42,38.80,40.40,543670,-2.48
17.03.2023,41.16,41.70,39.74,40.14,766067,2.54
16.03.2023,41.12,41.68,39.96,41.20,699877,-0.19
15.03.2023,42.34,42.34,41.14,41.30,1413414,2.52
14.03.2023,41.12,42.46,41.00,42.14,1003151,-2.42
13.03.2023,42.30,42.40,40.62,41.08,745602,2.97
10.03.2023,42.40,42.40,41.42,42.14,521793,0.62
09.03.2023,43.40,43.40,42.62,42.76,338644,1.5
08.03.2023,43.96,43.96,43.24,43.40,213878,1.29
07.03.2023,44.00,44.04,43.22,43.46,312075,1.24
06.03.2023,43.42,44.08,43.10,43.52,381952,-0.23
03.03.2023,42.98,43.04,42.74,42.84,402120,0.33
02.03.2023,44.00,44.00,42.64,42.78,258193,2.85
01.03.2023,44.16,44.16,43.34,43.90,366301,0.59
28.02.2023,44.34,44.68,43.36,44.06,2270571,0.64
27.02.2023,43.50,44.46,43.12,44.00,532277,-1.14
24.02.2023,43.72,43.72,42.92,43.50,460641,0.51
23.02.2023,43.36,43.56,43.14,43.34,433505,0.05
22.02.2023,42.62,43.32,42.38,42.92,339119,-0.7
21.02.2023,43.68,43.70,42.50,42.76,432552,2.15
20.02.2023,43.50,43.84,43.30,43.58,300641,-0.18
17.02.2023,43.98,43.98,42.94,43.62,443996,0.83
16.02.2023,43.84,43.96,43.24,43.58,295989,0.6
15.02.2023,42.88,43.66,42.00,43.40,1074949,-1.2
14.02.2023,43.34,43.58,42.40,42.66,461694,1.59
13.02.2023,42.56,43.66,42.52,43.10,622486,-1.25
10.02.2023,43.50,43.50,42.10,42.60,1046939,2.11
09.02.2023,44.14,44.14,43.00,43.28,486407,1.99
08.02.2023,43.86,44.68,43.50,43.76,826042,0.23
07.02.2023,43.36,43.66,42.80,43.46,1135137,-0.23
06.02.2023,43.36,44.50,42.78,43.38,652855,-0.05
03.02.2023,43.20,43.88,42.80,43.36,1572068,-0.37
02.02.2023,42.60,43.60,42.42,43.00,952837,-0.93
01.02.2023,41.80,42.96,41.78,42.04,1262447,-0.57
31.01.2023,40.88,42.12,40.76,41.88,1582670,-2.39
30.01.2023,41.00,41.56,40.66,40.88,1761115,0.29
27.01.2023,40.60,41.16,40.24,40.80,1513160,-0.49
26.01.2023,41.00,41.00,39.92,40.38,923393,1.54
25.01.2023,40.50,41.06,40.00,40.36,1082638,0.35
24.01.2023,41.20,41.56,40.26,40.46,1372166,1.83
03.04.2023,41.90,42.26,41.22,41.26,200123,1.55
31.03.2023,42.36,42.36,41.32,41.50,477317,2.07
30.03.2023,41.30,42.44,41.30,41.86,628787,-1.34
29.03.2023,42.16,42.20,41.20,41.68,576150,1.15
28.03.2023,41.10,42.22,40.76,41.24,712671,-0.34
27.03.2023,42.30,42.30,41.20,41.30,206839,2.42
24.03.2023,41.50,42.00,40.84,41.34,533365,0.39
23.03.2023,41.90,42.10,41.18,41.80,441848,0.24
22.03.2023,41.46,41.64,41.04,41.40,267011,0.14
21.03.2023,40.22,41.50,40.22,41.00,318848,-1.9
20.03.2023,39.40,40.42,38.80,40.40,543670,-2.48
17.03.2023,41.16,41.70,39.74,40.14,766067,2.54
16.03.2023,41.12,41.68,39.96,41.20,699877,-0.19
15.03.2023,42.34,42.34,41.14,41.30,1413414,2.52
14.03.2023,41.12,42.46,41.00,42.14,1003151,-2.42
13.03.2023,42.30,42.40,40.62,41.08,745602,2.97
10.03.2023,42.40,42.40,41.42,42.14,521793,0.62
09.03.2023,43.40,43.40,42.62,42.76,338644,1.5
08.03.2023,43.96,43.96,43.24,43.40,213878,1.29
