Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zmiana %,index
06.04.2023,58.98,59.38,58.50,58.60,845542,0.65,1
05.04.2023,59.30,59.50,58.04,58.98,1346820,0.54,2
04.04.2023,60.26,60.54,59.30,59.30,1314317,1.62,3
03.04.2023,58.96,60.90,58.90,59.78,1554645,-1.37,4
31.03.2023,58.64,58.94,57.82,58.24,1657432,0.69,5
30.03.2023,57.10,58.70,56.86,58.36,1873840,-2.16,6
29.03.2023,57.06,57.46,56.48,56.86,2041298,0.35,7
28.03.2023,57.40,57.66,56.40,56.98,1778579,0.74,8
27.03.2023,57.04,57.40,55.90,56.78,944713,0.46,9
24.03.2023,57.30,57.44,55.68,56.26,1455143,1.85,10
23.03.2023,57.44,58.14,56.52,57.62,1148997,-0.31,11
22.03.2023,58.02,58.34,57.16,57.70,1452481,0.55,12
21.03.2023,56.20,58.28,56.20,57.84,2584174,-2.84,13
20.03.2023,55.10,55.92,53.38,55.68,2665601,-1.04,14
17.03.2023,56.00,57.36,55.26,55.44,5564078,1.01,15
16.03.2023,57.00,57.26,54.04,55.52,5073512,2.67,16
15.03.2023,59.82,60.00,56.42,56.46,3436499,5.95,17
14.03.2023,59.98,60.26,58.84,59.72,2399715,0.44,18
13.03.2023,62.80,63.00,58.88,59.98,3293036,4.7,19
10.03.2023,63.00,63.04,62.18,62.46,1700280,0.86,20
09.03.2023,64.50,64.92,63.46,63.48,1614783,1.61,21
08.03.2023,64.70,65.30,64.32,65.16,1492176,-0.71,22
07.03.2023,65.70,66.06,65.06,65.10,1821376,0.92,23
06.03.2023,66.00,66.48,65.50,66.34,1289772,-0.51,24
03.03.2023,65.20,65.82,64.96,65.60,1189157,-0.61,25
02.03.2023,65.84,65.84,64.38,65.16,2202165,1.04,26
01.03.2023,66.66,67.60,65.72,66.28,4292596,0.57,27
28.02.2023,63.38,66.86,62.64,66.66,6396636,-4.92,28
27.02.2023,62.56,63.22,62.56,63.04,838533,-0.76,29
24.02.2023,64.50,64.92,62.10,62.56,1872354,3.1,30
23.02.2023,62.46,64.32,62.42,64.20,1630522,-2.71,31
22.02.2023,62.86,62.90,61.50,62.40,1301135,0.74,32
21.02.2023,63.24,63.58,62.30,62.80,985714,0.7,33
20.02.2023,63.46,63.62,62.82,63.24,618179,0.35,34
17.02.2023,63.20,63.70,62.92,63.30,1001496,-0.16,35
16.02.2023,63.74,64.48,62.82,63.30,1020827,0.7,36
15.02.2023,63.68,63.80,63.06,63.80,944847,-0.19,37
14.02.2023,63.70,64.00,62.82,63.62,880160,0.13,38
13.02.2023,63.68,63.98,62.46,63.42,1070592,0.41,39
10.02.2023,63.80,64.00,62.56,63.50,1389368,0.47,40
09.02.2023,64.50,65.12,63.58,64.18,1143635,0.5,41
08.02.2023,63.50,65.12,63.50,64.50,1688202,-1.55,42
07.02.2023,62.50,62.66,61.64,62.62,1493190,-0.19,43
06.02.2023,63.20,63.54,62.00,62.04,1489396,1.87,44
03.02.2023,63.30,64.00,62.70,63.04,1349523,0.41,45
02.02.2023,63.50,64.18,62.60,63.56,2639384,-0.09,46
01.02.2023,64.94,65.82,62.74,62.88,3442874,3.28,47
31.01.2023,65.94,66.06,64.56,64.92,2829918,1.57,48
30.01.2023,67.54,67.54,65.58,65.94,2031682,2.43,49
27.01.2023,65.50,67.60,65.40,67.56,3413071,-3.05,50
